Ref;Val;Package;PosX(mm);PosY(mm);Rot;Side
C1;100nF;C_0402_1005Metric;-54,37;25,24;0;bottom
C2;22nF;C_0402_1005Metric;-36,41;30,4;90;bottom
C3;100nF;C_0402_1005Metric;-37,39;29,45;90;bottom
C4;100nF;C_0402_1005Metric;-32,04;21,89;270;bottom
C5;470nF;C_0603_1608Metric;-37,02;32,24;0;bottom
C6;4.7uF;C_0805_2012Metric;-33,4;32,49;180;bottom
C9;100nF;C_0402_1005Metric;-41,9;28,63;0;bottom
CN7;Conn_02x19_Odd_Even;Header_2x19_P2.54mm_Vertical(SAMTEC_SSW-119-01-F-D);-4,52;27,9;270;bottom
CN10;Conn_02x19_Odd_Even;Header_2x19_P2.54mm_Vertical(SAMTEC_SSW-119-01-F-D);-65,48;27,9;270;bottom
R5;2R2;R_0603_1608Metric_Pad0.98x0.95mm;-35,26;34,28;0;bottom
R6;0R15;R_0805_2012Metric_Pad1.20x1.40mm;-26,27;25,32;180;bottom
R7;0R15;R_0805_2012Metric_Pad1.20x1.40mm;-41,05;25,33;0;bottom
U2;TMC2130-LA;QFN-36-1EP_5x6mm_P0.5mm_EP3.6x4.1mm;-33,6;26,2;90;bottom
